age,gender,sleep_hours,food_quality,exercise_hours,work_stress,screen_time,health_issues,social_interaction,introvert_extrovert,financial_stress,relationship_status,academic_pressure,job_satisfaction,family_support,sleep_quality,physical_pain,anxiety_level,depression_level,optimism_score,mental_state
55,female,9,5,1,2,4,1,5,introvert,1,married,10,10,4,5,0,1,9,5,happy
55,male,5,3,2,4,7,1,4,introvert,3,in_relationship,6,4,4,2,0,8,1,3,stable
25,female,9,4,2,1,13,0,1,extrovert,5,in_relationship,9,10,4,1,0,1,5,5,happy
44,male,5,3,0,9,3,0,1,introvert,5,single,7,9,1,4,0,5,7,4,anxious
44,female,9,1,1,6,9,0,5,introvert,2,single,10,10,4,4,0,9,3,2,stressed
51,other,7,5,2,1,3,0,3,extrovert,5,married,10,10,5,2,1,7,9,4,stable
38,other,8,3,1,1,12,1,2,introvert,5,single,9,1,5,5,0,4,8,3,stressed
47,other,3,3,1,6,8,1,3,introvert,5,married,4,2,2,4,0,9,3,1,depressed
50,other,9,1,0,4,10,1,5,introvert,3,single,2,5,1,4,1,9,5,10,stable
45,other,7,2,2,4,2,1,2,introvert,5,married,8,3,5,5,0,2,7,8,happy
50,male,5,4,0,6,9,0,3,introvert,5,married,4,2,3,1,0,10,4,5,anxious
22,other,5,2,0,7,8,1,2,extrovert,5,married,9,1,1,4,1,10,5,4,depressed
36,other,3,5,2,9,7,0,1,extrovert,1,married,4,10,1,3,0,6,3,10,happy
21,other,6,3,2,10,7,1,3,introvert,3,in_relationship,8,3,5,4,0,4,9,5,anxious
52,other,9,1,1,5,7,0,2,introvert,2,married,9,1,3,1,0,8,10,4,anxious
34,female,4,1,2,9,10,1,2,introvert,1,single,9,1,2,1,0,7,9,3,depressed
45,male,5,4,1,4,3,1,2,extrovert,4,in_relationship,10,1,5,2,0,7,7,5,stressed
47,other,8,2,1,10,2,0,3,extrovert,3,in_relationship,4,8,3,3,0,10,10,4,anxious
46,other,8,4,1,2,14,0,4,introvert,3,married,1,3,1,1,0,9,2,1,stable
23,other,5,3,2,3,13,1,3,introvert,4,in_relationship,3,1,3,5,0,5,7,3,stressed
52,male,6,4,0,1,7,0,5,extrovert,4,married,9,7,1,3,0,6,7,10,happy
58,female,6,1,1,6,11,0,3,introvert,4,single,4,10,5,3,0,1,5,10,happy
54,male,7,1,0,6,12,0,2,extrovert,2,married,5,3,5,5,1,6,9,8,stressed
41,female,8,5,0,1,9,0,1,extrovert,5,in_relationship,7,8,4,4,0,2,3,7,happy
46,other,7,5,2,3,4,1,3,introvert,3,single,5,4,4,5,1,6,4,2,stable
48,other,8,3,0,5,13,0,3,extrovert,5,married,4,4,4,5,0,9,1,1,stressed
52,male,9,2,0,3,11,0,2,introvert,5,single,2,5,5,4,0,8,6,3,stressed
50,male,9,4,2,10,2,0,1,introvert,4,single,2,6,2,4,0,9,4,5,stable
38,female,4,3,1,3,10,0,1,introvert,2,in_relationship,4,7,5,4,0,10,1,10,happy
49,female,9,5,0,10,14,0,5,introvert,1,single,10,4,3,4,0,8,2,1,anxious
40,male,4,4,2,3,14,0,3,introvert,2,in_relationship,10,8,5,4,0,3,3,3,stable
50,female,9,5,0,5,2,0,1,introvert,5,single,9,6,5,5,0,8,9,3,stressed
20,male,3,4,0,5,4,0,1,extrovert,2,married,8,1,1,2,0,6,8,5,anxious
35,female,9,2,1,4,9,1,4,extrovert,4,single,3,1,1,2,0,6,7,3,stressed
42,male,7,3,0,1,15,0,4,extrovert,1,married,9,9,1,1,0,6,4,9,happy
59,male,5,4,2,5,4,0,1,extrovert,4,married,5,10,5,2,0,3,1,1,happy
48,male,7,1,0,10,14,0,5,introvert,1,single,3,6,2,2,0,10,8,4,anxious
20,female,5,1,1,5,5,0,1,extrovert,5,married,5,10,3,5,0,1,4,10,happy
57,female,6,4,1,4,9,0,2,extrovert,1,single,10,8,3,4,0,4,3,10,happy
41,female,7,4,2,6,2,0,3,extrovert,1,single,4,7,2,4,0,10,9,4,stable
49,male,6,4,1,10,14,1,5,introvert,1,married,8,6,2,5,1,6,10,1,depressed
39,female,4,1,0,4,14,0,2,extrovert,2,married,5,4,3,2,0,10,4,2,depressed
40,female,4,1,1,7,7,0,5,introvert,2,in_relationship,10,7,4,5,0,2,4,1,stressed
19,male,3,4,2,7,2,1,2,extrovert,5,married,8,9,1,1,0,7,9,6,anxious
44,other,9,5,1,2,15,0,3,introvert,1,in_relationship,9,10,1,4,1,7,2,3,stable
59,male,7,5,1,3,2,0,3,introvert,3,married,4,10,3,3,0,4,5,7,happy
19,female,6,2,1,1,15,0,4,extrovert,5,single,7,7,2,1,1,4,4,5,stable
43,male,5,3,2,8,9,0,2,introvert,1,married,2,1,4,1,0,1,9,9,stable
34,other,4,5,1,9,12,1,4,introvert,1,single,6,10,3,5,0,2,5,7,stable
57,male,9,1,1,4,5,1,2,extrovert,2,single,8,9,1,2,1,9,9,4,anxious
50,female,4,5,0,6,13,1,4,extrovert,5,single,7,4,5,4,0,10,9,5,depressed
26,other,5,2,2,9,2,0,3,extrovert,1,in_relationship,7,3,2,3,0,8,2,5,stressed
56,female,9,2,1,6,11,0,5,introvert,1,married,8,4,5,1,0,8,9,5,stressed
46,other,9,3,2,9,8,0,4,introvert,5,single,7,4,3,3,1,9,3,10,stable
59,other,6,5,1,4,6,0,2,introvert,3,single,5,10,1,2,0,7,4,9,happy
43,male,6,1,1,8,6,0,2,extrovert,5,in_relationship,7,2,4,2,0,9,1,10,stable
52,male,7,1,1,9,2,1,3,introvert,5,married,10,1,5,3,0,10,1,3,anxious
42,female,7,4,0,4,15,0,2,introvert,3,married,3,10,4,4,0,2,1,6,happy
41,male,8,1,0,5,11,0,1,introvert,5,in_relationship,5,1,1,2,1,6,9,8,anxious
30,male,8,3,0,8,12,0,5,introvert,1,in_relationship,7,8,5,3,0,3,8,9,happy
24,other,3,3,2,10,7,0,4,introvert,5,married,9,2,4,1,0,6,5,7,anxious
53,male,4,1,2,6,15,0,5,introvert,3,in_relationship,2,10,4,3,1,3,5,3,stable
37,other,7,1,0,7,10,1,3,introvert,4,married,4,5,5,3,0,8,9,1,depressed
18,other,6,4,2,3,10,0,4,extrovert,5,married,7,4,1,5,0,4,3,4,stable
25,other,5,1,1,7,9,1,4,extrovert,2,single,1,8,4,2,0,10,3,6,stable
33,female,6,4,1,8,6,0,1,extrovert,1,single,2,2,3,4,0,6,7,3,stressed
31,female,4,4,1,10,2,1,3,introvert,1,married,9,10,5,4,0,9,9,1,depressed
29,female,8,1,0,6,10,1,2,introvert,2,married,10,9,2,5,0,2,6,6,stressed
40,other,6,2,2,10,2,0,1,extrovert,2,married,7,7,2,4,0,2,2,1,stable
32,female,3,2,0,9,9,0,1,introvert,5,married,10,7,1,3,0,7,1,9,anxious
45,female,4,4,2,6,6,1,5,extrovert,2,married,7,1,3,5,1,2,2,1,stable
51,male,8,1,1,9,4,0,5,introvert,4,married,6,2,4,1,0,2,1,6,happy
19,female,5,2,0,4,12,1,5,introvert,3,in_relationship,3,4,2,2,0,4,10,1,anxious
49,female,8,1,2,8,8,0,1,extrovert,2,married,10,4,1,2,0,9,10,7,anxious
40,other,9,1,2,4,8,0,2,extrovert,2,in_relationship,3,3,3,2,1,8,9,3,stressed
39,other,3,1,1,2,10,1,4,extrovert,4,in_relationship,2,7,3,3,0,2,10,6,stressed
42,other,4,5,0,10,8,1,5,extrovert,1,married,6,8,1,1,0,8,8,7,anxious
39,other,5,1,0,9,14,0,2,extrovert,1,married,4,2,1,5,0,4,7,1,depressed
39,other,3,5,0,5,12,1,3,introvert,5,in_relationship,5,4,4,5,0,2,3,1,stressed
59,other,8,4,1,4,15,0,5,introvert,4,in_relationship,3,3,1,2,0,10,8,5,stressed
23,female,3,2,0,2,4,0,4,introvert,3,married,6,2,4,1,0,7,2,6,stable
32,other,4,2,1,1,12,0,3,extrovert,3,married,3,6,4,1,0,6,2,9,happy
54,other,7,2,1,7,14,0,3,extrovert,4,in_relationship,8,4,5,1,1,10,10,1,depressed
50,male,3,2,1,6,15,1,4,extrovert,3,in_relationship,9,6,3,4,0,5,3,4,anxious
25,female,9,2,2,2,14,0,5,extrovert,1,in_relationship,4,2,3,4,0,1,7,10,happy
22,female,3,2,0,8,2,0,1,extrovert,3,single,9,4,3,2,0,2,1,8,stable
56,female,8,2,0,4,9,0,4,extrovert,3,in_relationship,7,6,5,1,0,8,8,10,stable
21,other,8,4,1,8,13,0,4,introvert,4,single,3,5,4,1,0,1,7,9,happy
23,other,5,1,1,7,4,0,4,introvert,4,married,7,3,4,5,0,3,4,3,stressed
49,other,8,3,0,5,13,1,3,introvert,3,married,1,8,1,5,0,2,5,2,stable
47,male,6,5,1,10,9,0,2,introvert,2,in_relationship,3,7,5,2,0,5,10,4,stressed
52,other,4,3,0,10,9,1,1,introvert,4,married,6,3,1,1,0,4,1,2,anxious
57,male,4,3,2,8,14,1,5,extrovert,5,married,4,6,5,2,0,7,4,1,anxious
33,female,7,1,1,9,6,0,5,extrovert,5,married,7,4,1,5,0,5,1,3,stressed
30,other,7,1,0,5,14,1,2,extrovert,1,married,3,5,2,5,0,8,1,7,stable
59,male,4,1,1,10,13,1,4,extrovert,3,single,1,5,3,4,0,4,10,1,depressed
47,male,9,2,0,5,14,0,1,extrovert,2,single,9,7,3,2,0,6,1,2,stressed
36,other,7,4,0,2,2,0,5,extrovert,1,in_relationship,6,5,4,2,0,4,7,1,happy
34,female,5,2,1,5,14,0,5,introvert,3,in_relationship,8,3,2,1,1,2,7,8,stressed
36,female,8,4,2,3,11,0,4,extrovert,4,in_relationship,3,10,3,1,0,1,4,5,happy
45,female,4,4,0,7,8,1,2,extrovert,5,married,8,5,4,4,0,1,2,8,stable
43,male,7,3,0,10,13,0,1,extrovert,2,married,2,7,2,3,0,8,3,3,stressed
54,male,4,3,0,5,11,1,2,extrovert,5,single,4,5,3,3,0,4,8,7,stressed
43,male,6,4,2,8,6,0,2,introvert,4,single,3,5,1,3,0,5,8,8,stable
40,male,3,4,2,1,9,0,1,introvert,3,in_relationship,10,9,5,2,1,8,6,6,stressed
26,female,8,2,1,3,10,1,1,extrovert,4,single,1,3,2,2,0,7,10,7,stressed
29,other,4,2,2,3,12,0,5,introvert,4,single,7,6,4,5,1,8,9,2,anxious
18,male,3,3,1,9,15,0,5,introvert,5,single,10,1,2,2,1,8,9,8,depressed
18,male,7,1,1,5,8,0,1,extrovert,2,single,2,10,4,2,0,6,4,5,happy
51,female,3,4,2,9,15,0,3,extrovert,4,single,4,5,2,2,0,10,1,7,stressed
49,other,8,2,1,9,14,0,5,extrovert,5,in_relationship,9,8,4,4,0,2,1,1,stressed
42,other,4,3,2,1,8,0,3,extrovert,2,in_relationship,6,5,3,2,0,6,10,5,stressed
57,female,6,2,1,2,2,0,1,extrovert,3,single,8,9,1,1,1,1,5,1,stable
18,female,9,4,2,5,5,1,5,introvert,3,in_relationship,2,6,3,1,0,1,2,8,happy
33,other,7,4,2,4,3,0,2,extrovert,1,married,7,8,1,5,1,3,6,4,happy
56,male,4,5,1,10,3,0,1,extrovert,5,single,6,10,3,4,0,3,7,4,stressed
22,other,8,1,0,9,3,0,4,extrovert,2,married,9,8,3,1,1,5,1,2,stable
39,female,7,5,1,7,5,1,3,introvert,4,in_relationship,7,3,2,4,1,1,6,5,stable
46,male,5,3,2,6,15,0,1,extrovert,3,in_relationship,1,7,5,4,0,10,8,1,anxious
20,male,3,2,0,7,2,0,1,extrovert,2,married,8,7,4,5,0,6,5,9,stable
29,female,9,3,1,1,5,0,5,extrovert,5,in_relationship,10,10,4,4,0,7,7,5,happy
43,female,8,4,1,1,3,0,5,introvert,1,single,3,6,4,2,1,10,10,6,happy
33,female,5,5,1,8,6,1,5,extrovert,3,married,2,7,1,4,1,3,6,2,stressed
54,other,4,5,0,2,4,1,4,extrovert,2,single,3,2,4,5,0,4,4,10,happy
39,other,6,5,2,10,13,0,5,extrovert,2,married,6,9,4,5,0,10,7,10,stable
46,male,7,3,1,9,9,0,1,introvert,2,in_relationship,3,10,2,5,0,10,10,1,depressed
31,female,3,4,1,7,5,0,5,extrovert,5,married,10,10,3,1,1,10,9,4,depressed
45,male,7,2,1,6,2,1,2,extrovert,5,married,5,1,4,2,0,10,10,7,anxious
22,male,9,2,1,1,2,1,5,extrovert,5,single,6,1,5,1,1,10,10,6,stressed
47,male,4,3,1,1,13,0,4,introvert,4,in_relationship,8,3,4,3,0,3,7,10,stable
22,male,7,5,2,2,11,1,2,extrovert,2,single,7,3,1,2,0,1,5,1,stable
29,female,3,1,2,6,4,1,1,extrovert,3,in_relationship,8,1,1,4,0,8,7,1,depressed
33,male,4,3,1,6,10,0,1,extrovert,5,single,3,7,1,5,0,10,3,8,stressed
43,female,7,3,0,2,8,0,3,introvert,5,married,4,4,4,3,0,10,2,4,stable
43,female,6,4,2,1,3,0,2,introvert,2,single,6,10,2,2,0,2,5,5,happy
38,other,8,2,0,10,14,1,3,extrovert,5,in_relationship,7,2,5,1,0,1,4,7,stressed
56,female,4,3,2,5,10,1,2,introvert,4,in_relationship,9,10,4,5,0,8,5,8,stressed
53,other,8,3,1,5,11,1,2,introvert,4,married,1,5,2,1,0,7,8,10,stable
50,female,4,5,2,2,3,1,4,introvert,5,in_relationship,8,6,2,2,0,7,4,7,stable
47,female,6,5,1,6,4,0,3,extrovert,2,single,8,9,4,2,1,4,9,2,stressed
54,female,8,1,2,9,12,1,4,extrovert,2,married,6,4,4,3,0,9,7,4,anxious
40,other,5,4,1,2,14,1,2,introvert,2,in_relationship,4,2,2,4,1,6,10,10,stressed
27,other,3,1,1,10,11,0,1,introvert,1,in_relationship,3,5,2,1,0,2,7,1,depressed
22,male,5,5,1,2,15,0,2,introvert,5,single,3,3,2,3,0,1,8,10,happy
53,other,7,2,1,3,3,1,4,extrovert,2,single,6,2,4,5,0,1,6,9,happy
51,other,6,5,0,7,4,0,3,extrovert,4,married,8,1,2,4,0,9,8,3,anxious
48,other,5,4,1,6,7,1,3,introvert,3,in_relationship,7,10,1,3,0,4,3,3,stable
27,other,4,5,0,8,10,0,4,introvert,3,single,1,2,4,1,0,5,10,10,stable
36,male,7,4,0,8,10,0,3,introvert,2,married,6,6,1,2,0,3,10,9,stable
49,other,7,4,1,6,8,1,5,introvert,3,in_relationship,7,8,3,5,0,4,1,10,happy
18,female,5,4,0,10,13,0,1,extrovert,3,in_relationship,7,3,4,1,0,8,6,3,depressed
22,female,5,4,2,3,4,0,1,introvert,1,married,9,9,3,4,0,4,1,8,happy
21,other,6,4,1,3,5,0,1,extrovert,4,married,10,9,2,4,0,9,9,2,anxious
33,other,3,2,0,1,7,1,3,introvert,4,single,5,2,2,2,0,9,2,3,anxious
41,female,5,1,1,7,12,0,3,introvert,1,in_relationship,1,8,5,2,0,6,2,2,stable
33,female,9,3,1,5,6,1,2,introvert,1,in_relationship,2,10,2,5,0,2,7,1,happy
19,male,5,1,1,4,3,0,2,introvert,3,in_relationship,4,5,3,5,0,10,2,2,stressed
45,female,8,4,0,10,14,1,1,introvert,5,married,5,4,2,2,1,7,10,8,depressed
49,female,4,2,2,4,7,1,5,extrovert,3,single,9,10,4,2,1,9,8,9,stressed
44,other,9,5,2,4,4,0,2,introvert,1,in_relationship,1,5,2,4,0,6,6,2,happy
37,female,9,2,0,6,15,0,2,introvert,4,married,3,4,5,2,0,3,7,7,stable
41,male,8,4,1,8,9,0,3,introvert,3,in_relationship,5,8,2,3,0,7,7,5,stressed
29,female,8,2,0,8,3,0,5,extrovert,5,single,3,4,3,1,0,5,6,3,stressed
52,other,7,2,0,5,2,0,1,extrovert,3,in_relationship,4,10,3,2,0,1,10,9,happy
50,other,3,4,0,6,10,0,2,extrovert,2,single,3,6,2,5,0,3,9,6,stressed
50,female,4,2,1,4,15,0,5,extrovert,3,single,4,2,3,3,0,5,9,1,anxious
54,other,6,3,0,9,13,0,5,introvert,1,in_relationship,1,5,3,5,0,7,7,5,stressed
29,male,9,3,1,8,4,0,1,introvert,4,in_relationship,8,6,5,3,0,3,9,7,stable
20,male,6,2,0,10,12,0,5,introvert,4,single,4,5,4,2,0,6,10,4,anxious
18,female,5,5,2,10,2,1,5,extrovert,1,married,7,2,5,1,0,5,3,8,happy
50,female,5,4,0,1,8,0,5,introvert,2,single,2,7,1,5,0,1,3,10,happy
57,female,6,3,0,2,14,0,2,introvert,1,in_relationship,2,4,5,3,0,10,1,5,stable
27,other,5,5,2,9,11,0,1,extrovert,3,in_relationship,6,8,2,4,0,6,5,9,stable
46,male,3,2,1,8,6,1,5,extrovert,1,married,2,7,4,2,0,8,4,9,stable
30,male,8,5,1,3,6,1,5,extrovert,1,single,6,7,2,1,0,1,2,9,happy
29,other,5,1,0,8,15,1,2,introvert,2,single,2,9,1,2,0,2,9,1,depressed
48,male,7,3,2,1,2,1,1,introvert,3,single,4,1,4,4,1,4,3,2,happy
19,female,5,2,1,10,10,0,3,extrovert,5,in_relationship,7,10,3,1,0,2,8,3,anxious
52,female,4,4,0,4,8,1,2,introvert,5,single,8,6,5,4,1,9,6,4,anxious
40,female,3,2,2,3,9,1,1,extrovert,4,married,3,6,2,2,0,10,5,10,stressed
34,male,4,4,1,6,10,0,5,extrovert,1,in_relationship,9,6,1,3,0,8,1,9,stable
43,female,4,2,1,7,7,1,1,introvert,4,in_relationship,2,6,3,2,0,8,4,10,stable
25,other,7,5,2,4,13,0,1,extrovert,2,single,8,10,5,2,0,4,3,6,happy
46,other,3,5,2,7,6,0,1,extrovert,5,married,8,7,3,2,0,5,1,1,stressed
43,male,3,5,2,9,7,0,3,extrovert,1,in_relationship,4,10,5,5,0,4,5,9,happy
27,other,3,1,2,2,12,0,1,introvert,2,in_relationship,1,6,4,4,0,9,6,6,stressed
43,other,3,4,0,3,3,1,3,extrovert,2,single,1,1,3,4,1,2,2,4,happy
51,male,3,5,2,5,5,0,5,extrovert,1,single,2,3,3,4,0,8,3,4,stable
58,female,7,1,1,3,4,0,3,extrovert,2,married,9,2,3,5,0,2,6,3,stable
24,female,5,4,1,8,14,0,5,extrovert,1,single,2,6,4,3,0,1,4,7,happy
21,female,4,2,0,10,8,1,5,extrovert,1,married,2,8,1,2,0,10,9,3,depressed
28,male,3,1,1,8,10,0,3,extrovert,3,in_relationship,6,3,5,3,1,3,5,2,anxious
46,other,9,3,1,8,6,0,2,extrovert,4,married,7,10,3,5,1,9,4,10,stable
53,female,5,1,2,9,7,1,4,introvert,2,married,7,8,4,4,1,3,2,8,stable
42,female,5,1,1,4,11,1,1,introvert,2,married,9,8,1,2,0,9,6,4,depressed
38,male,4,4,0,5,15,0,4,extrovert,3,in_relationship,6,5,5,1,0,7,10,8,stressed
53,female,7,2,2,5,13,1,1,introvert,3,single,8,8,4,1,0,10,2,1,anxious
27,male,6,3,2,8,13,1,1,introvert,3,in_relationship,6,6,5,3,1,1,7,5,stressed
54,other,6,5,0,7,3,1,5,extrovert,5,single,2,5,3,4,0,10,3,9,happy
26,male,5,5,2,9,4,0,1,introvert,5,married,1,9,1,1,0,5,9,1,anxious
41,male,8,1,2,8,4,0,1,extrovert,5,married,5,7,4,3,0,9,5,4,stressed
52,male,8,4,0,2,13,0,3,extrovert,1,married,9,8,1,5,0,3,8,6,stable
52,male,4,4,2,10,13,0,4,extrovert,2,married,8,1,3,3,0,9,6,10,anxious
53,other,6,5,0,4,10,0,3,extrovert,4,married,4,2,1,3,0,5,10,8,stressed
35,other,5,3,0,6,8,0,1,extrovert,1,single,5,8,1,3,1,9,8,3,anxious
56,female,7,2,1,2,9,0,5,introvert,2,single,5,9,2,2,1,10,3,5,stable
49,other,6,3,1,7,12,0,3,extrovert,2,married,6,4,1,3,0,6,3,7,stable
41,other,5,2,2,3,11,0,3,introvert,3,in_relationship,3,10,5,3,0,9,5,1,stressed
40,female,5,5,2,3,12,1,2,extrovert,3,in_relationship,5,10,4,2,1,7,10,7,stressed
49,other,3,2,0,2,10,0,1,extrovert,1,married,2,9,2,2,1,7,3,8,stable
